_MeanReward,Steps,_TimeStep,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,PolicyLoss,PolicyEntropy,KL,Beta,_lr_multiplier,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
-102.448,4096,237568,-0.0774463512871,-0.5,0.000392442569137,0.00740002712569,-6.93889390391e-18,-6.88220596206,8.45064248342,0.999945940984,0.0329720229236,-3.04862474804,1.599,0.0455174749732,0.169915,-8.76496,7.64813,3.58315,-0.15074,8.19146,0.0401739,3.375,1.0,0.000947956616825,0.0658695089388,0.555557706027
-113.986,4096,241664,-0.174290714849,-0.509287529567,0.000668006986272,0.0333198626364,4.85722573274e-17,-5.32029493264,4.4983005442,0.999973483858,0.0610626964498,-2.69816599974,1.65868478375,0.0741314163903,0.226683,-7.68907,10.3071,3.71529,0.676029,8.19566,0.0887543,5.0625,1.0,0.000664643710688,0.0565741778718,0.723678496695
-109.341,4096,245760,-0.119843879574,-0.511981746683,0.000176108369487,0.0194631998187,-6.93889390391e-18,-6.20641153457,6.62861498085,0.999949777129,0.0437189348519,-2.79495711255,1.65216442167,0.0612390791349,0.226634,-8.81014,9.70262,3.62661,0.217328,8.19882,0.0499602,7.59375,1.0,0.00181997269904,-0.420490775583,0.830064668496
-104.607,4096,249856,-0.077978132908,-0.5,0.00552081006455,0.00646429392002,2.08166817117e-17,-9.3634069429,9.41777455765,0.999952512705,0.0279351416852,-2.80673210595,1.599,0.0434341622306,0.176273,-8.28695,7.92694,3.57495,0.117839,8.21667,0.0155941,7.59375,1.0,0.00173638737518,-0.0768301694954,0.466643276859
-93.405,4096,253952,-0.059187485695,-0.0875921576836,0.000358408338451,0.000352203332814,-1.04083408559e-17,-5.33937246791,20.0841480302,0.999888966829,0.0313250848929,-1.06272385021,1.599,0.0327621471276,0.217784,-7.80676,8.31073,3.63698,0.0713295,8.2141,0.00315579,5.0625,1.0,0.00121648184646,0.188288122091,-0.357297498678
-107.327,4096,258048,-0.0646702222732,-0.114282486625,0.000510571768267,0.000344655692352,-1.73472347598e-17,-4.90863124661,15.6233754422,0.999874070036,0.0258707707115,-1.07649182209,1.599,0.0333359016341,0.195477,-9.35839,8.35979,3.61347,0.0885656,8.21463,0.00772563,5.0625,1.0,0.000995419183543,-0.0236990932084,-1.35738679479
-95.8305,4096,262144,-0.0577927553471,-0.0908942561415,0.000947074364695,0.000300823444542,2.42861286637e-17,-3.12520074887,18.9126114537,0.999761066382,0.0321217583855,-0.895758619083,1.599,0.0338759999335,0.241866,-9.15946,8.01934,3.60692,-0.0201046,8.21725,0.00471897,3.375,1.0,0.000795403586347,-0.0401542016587,0.221798762022
-99.2749,4096,266240,-0.0668680054755,-0.5,0.00109478381957,0.0027891560537,-1.38777878078e-17,-11.9436558375,3.0842004818,0.999887701154,0.0295979243915,-2.29580576593,1.599,0.034889241621,0.231997,-8.76977,8.70872,3.6316,0.00353558,8.21836,0.0049799,2.25,1.0,0.000647244612255,0.658059033223,0.736275785893
-108.932,4096,270336,-0.0936663772238,-0.501132515337,0.00291680618527,0.0115918137428,4.16333634234e-17,-7.12226214518,5.89852434897,0.999957737475,0.0375821414896,-2.16822523809,2.05554847285,0.0483494141026,0.235599,-11.4245,8.6612,3.6,-0.0124009,8.22091,0.00736259,2.25,1.0,0.00101190039416,0.0701339428449,0.527528674212
-96.5502,4096,274432,-0.0605893602607,-0.0836736827906,-0.000289058953058,0.000298924117187,1.38777878078e-17,-2.24642029259,11.0249577746,0.999944865205,0.0315881001729,-1.18112851926,1.599,0.0340467237015,0.242125,-8.53795,7.74464,3.62435,0.00331624,8.22935,0.002471,1.5,1.0,0.00142708483159,0.0364707874564,-9.64135998885
